algorithm,phase,size_label,size_value,input_label,input_size_bytes,run,time_s,peak_memory_bytes,ciphertext_bytes
Knapsack,decrypt,key_bits,32,image_50KB,20480,9,0.020470125000000117,1635304,
Knapsack,encrypt,key_bits,32,audio_200KB,20480,0,0.008653958000000017,206240,25600
Knapsack,decrypt,key_bits,32,audio_200KB,20480,0,0.021226291000000508,1635304,
Knapsack,encrypt,key_bits,32,audio_200KB,20480,1,0.00869362500000026,206240,25600
Knapsack,decrypt,key_bits,32,audio_200KB,20480,1,0.021353582999999787,1635304,
Knapsack,encrypt,key_bits,32,audio_200KB,20480,2,0.008558625000000042,206240,25600
Knapsack,decrypt,key_bits,32,audio_200KB,20480,2,0.02091487499999989,1635304,
Knapsack,encrypt,key_bits,32,audio_200KB,20480,3,0.008922875000000552,206240,25600
Knapsack,decrypt,key_bits,32,audio_200KB,20480,3,0.022324958999999645,1635304,
Knapsack,encrypt,key_bits,32,audio_200KB,20480,4,0.008859417000000036,206240,25600
Knapsack,decrypt,key_bits,32,audio_200KB,20480,4,0.02150158400000013,1635304,
Knapsack,encrypt,key_bits,32,audio_200KB,20480,5,0.008444374999999837,206240,25600
Knapsack,decrypt,key_bits,32,audio_200KB,20480,5,0.020850582999999645,1635304,
Knapsack,encrypt,key_bits,32,audio_200KB,20480,6,0.008616500000000471,206240,25600
Knapsack,decrypt,key_bits,32,audio_200KB,20480,6,0.027725124999999906,1635360,
Knapsack,encrypt,key_bits,32,audio_200KB,20480,7,0.008831833000000344,206352,25600
Knapsack,decrypt,key_bits,32,audio_200KB,20480,7,0.020109457999999414,1635304,
Knapsack,encrypt,key_bits,32,audio_200KB,20480,8,0.008522666000000179,206240,25600
Knapsack,decrypt,key_bits,32,audio_200KB,20480,8,0.020917999999999992,1635304,
Knapsack,encrypt,key_bits,32,audio_200KB,20480,9,0.00836462499999957,206240,25600
Knapsack,decrypt,key_bits,32,audio_200KB,20480,9,0.019929166999999914,1635304,
Knapsack,encrypt,key_bits,32,video_1MB,20480,0,0.00847008299999974,206240,25600
Knapsack,decrypt,key_bits,32,video_1MB,20480,0,0.020944625000000272,1635304,
Knapsack,encrypt,key_bits,32,video_1MB,20480,1,0.00850658400000004,206240,25600
Knapsack,decrypt,key_bits,32,video_1MB,20480,1,0.020530917000000315,1635304,
Knapsack,encrypt,key_bits,32,video_1MB,20480,2,0.008528541000000445,206240,25600
Knapsack,decrypt,key_bits,32,video_1MB,20480,2,0.020908666999999603,1635304,
Knapsack,encrypt,key_bits,32,video_1MB,20480,3,0.008497625000000397,206240,25600
Knapsack,decrypt,key_bits,32,video_1MB,20480,3,0.02055175000000009,1635304,
Knapsack,encrypt,key_bits,32,video_1MB,20480,4,0.008425958000000122,206240,25600
Knapsack,decrypt,key_bits,32,video_1MB,20480,4,0.020676791000000527,1635304,
Knapsack,encrypt,key_bits,32,video_1MB,20480,5,0.008444874999999463,206240,25600
Knapsack,decrypt,key_bits,32,video_1MB,20480,5,0.021119374999999607,1635304,
Knapsack,encrypt,key_bits,32,video_1MB,20480,6,0.008635791999999753,206240,25600
Knapsack,decrypt,key_bits,32,video_1MB,20480,6,0.02071600000000018,1635304,
Knapsack,encrypt,key_bits,32,video_1MB,20480,7,0.008547082999999844,206240,25600
Knapsack,decrypt,key_bits,32,video_1MB,20480,7,0.021004249999999836,1635304,
Knapsack,encrypt,key_bits,32,video_1MB,20480,8,0.00847104200000004,206240,25600
Knapsack,decrypt,key_bits,32,video_1MB,20480,8,0.020254791999999355,1635304,
Knapsack,encrypt,key_bits,32,video_1MB,20480,9,0.008497874999999766,206240,25600
Knapsack,decrypt,key_bits,32,video_1MB,20480,9,0.020912415999999823,1635304,
Knapsack,keygen,key_bits,64,-,0,0,0.00013391599999934556,5764,
Knapsack,keygen,key_bits,64,-,0,1,0.00011925000000001518,5764,
Knapsack,keygen,key_bits,64,-,0,2,0.00012270800000013793,5768,
Knapsack,keygen,key_bits,64,-,0,3,0.00011691599999963387,5768,
Knapsack,keygen,key_bits,64,-,0,4,0.0001338750000003941,6216,
Knapsack,keygen,key_bits,64,-,0,5,0.0001130830000004579,5736,
Knapsack,keygen,key_bits,64,-,0,6,0.00011850000000013239,5764,
Knapsack,keygen,key_bits,64,-,0,7,0.00011554200000052361,5736,
Knapsack,keygen,key_bits,64,-,0,8,0.00012112499999972215,5764,
Knapsack,keygen,key_bits,64,-,0,9,0.00011650000000074101,5768,
Knapsack,encrypt,key_bits,64,text_1KB,1024,0,0.0008890839999997624,6712,1152
Knapsack,decrypt,key_bits,64,text_1KB,1024,0,0.0012805419999999401,69772,
Knapsack,encrypt,key_bits,64,text_1KB,1024,1,0.0007919999999996818,6712,1152
Knapsack,decrypt,key_bits,64,text_1KB,1024,1,0.0009802920000003823,69772,
Knapsack,encrypt,key_bits,64,text_1KB,1024,2,0.0008345830000004995,6712,1152
Knapsack,decrypt,key_bits,64,text_1KB,1024,2,0.0009195829999999461,69772,
Knapsack,encrypt,key_bits,64,text_1KB,1024,3,0.0007869999999998711,6712,1152
Knapsack,decrypt,key_bits,64,text_1KB,1024,3,0.0009127920000002732,69772,
Knapsack,encrypt,key_bits,64,text_1KB,1024,4,0.000793958000000039,6712,1152
Knapsack,decrypt,key_bits,64,text_1KB,1024,4,0.0009069589999999295,69772,
Knapsack,encrypt,key_bits,64,text_1KB,1024,5,0.0007814580000005122,6712,1152
Knapsack,decrypt,key_bits,64,text_1KB,1024,5,0.000933457999999554,69772,
Knapsack,encrypt,key_bits,64,text_1KB,1024,6,0.0007852910000005764,6712,1152
Knapsack,decrypt,key_bits,64,text_1KB,1024,6,0.0009319579999997885,69772,
Knapsack,encrypt,key_bits,64,text_1KB,1024,7,0.0008090830000000437,6712,1152
Knapsack,decrypt,key_bits,64,text_1KB,1024,7,0.0009259999999997603,69772,
Knapsack,encrypt,key_bits,64,text_1KB,1024,8,0.0008115420000001095,6712,1152
Knapsack,decrypt,key_bits,64,text_1KB,1024,8,0.0009199589999999702,69772,
Knapsack,encrypt,key_bits,64,text_1KB,1024,9,0.0008625420000001327,6712,1152
Knapsack,decrypt,key_bits,64,text_1KB,1024,9,0.001025374999999329,69772,
Knapsack,encrypt,key_bits,64,image_50KB,20480,0,0.01615387500000054,123448,23040
Knapsack,decrypt,key_bits,64,image_50KB,20480,0,0.018726374999999962,1470604,
Knapsack,encrypt,key_bits,64,image_50KB,20480,1,0.015447625000000187,123448,23040
Knapsack,decrypt,key_bits,64,image_50KB,20480,1,0.019486209000000088,1470604,
Knapsack,encrypt,key_bits,64,image_50KB,20480,2,0.01542145799999961,123448,23040
Knapsack,decrypt,key_bits,64,image_50KB,20480,2,0.01881104199999939,1470604,
Knapsack,encrypt,key_bits,64,image_50KB,20480,3,0.01541450000000033,123448,23040
Knapsack,decrypt,key_bits,64,image_50KB,20480,3,0.018761334000000573,1470604,
Knapsack,encrypt,key_bits,64,image_50KB,20480,4,0.01561508300000014,123448,23040
Knapsack,decrypt,key_bits,64,image_50KB,20480,4,0.019253209000000382,1470604,
Knapsack,encrypt,key_bits,64,image_50KB,20480,5,0.015484874999999398,123448,23040
Knapsack,decrypt,key_bits,64,image_50KB,20480,5,0.019058332999999372,1470604,
Knapsack,encrypt,key_bits,64,image_50KB,20480,6,0.015597790999999361,123448,23040
Knapsack,decrypt,key_bits,64,image_50KB,20480,6,0.018498000000000125,1470604,
Knapsack,encrypt,key_bits,64,image_50KB,20480,7,0.015277916000000502,123448,23040
Knapsack,decrypt,key_bits,64,image_50KB,20480,7,0.01850750000000012,1470604,
Knapsack,encrypt,key_bits,64,image_50KB,20480,8,0.015288166000001269,123448,23040
Knapsack,decrypt,key_bits,64,image_50KB,20480,8,0.018295291000001157,1470604,
Knapsack,encrypt,key_bits,64,image_50KB,20480,9,0.015276999999999319,123448,23040
Knapsack,decrypt,key_bits,64,image_50KB,20480,9,0.025209750000000142,1470660,
