algorithm,phase,size_label,size_value,input_label,input_size_bytes,run,time_s,peak_memory_bytes,output_bytes
HMAC-SHA256,mac_gen,input_size,10240,10KB_textfile,10240,9,6.667000000071255e-06,417,32
HMAC-SHA256,mac_verify,input_size,10240,10KB_textfile,10240,9,6.749999999833278e-06,417,
HMAC-SHA256,mac_gen,input_size,51200,50KB_binary,51200,0,2.012499999981543e-05,417,32
HMAC-SHA256,mac_verify,input_size,51200,50KB_binary,51200,0,2.512499999962614e-05,417,
HMAC-SHA256,mac_gen,input_size,51200,50KB_binary,51200,1,2.2665999999560427e-05,417,32
HMAC-SHA256,mac_verify,input_size,51200,50KB_binary,51200,1,1.9957999999320464e-05,417,
HMAC-SHA256,mac_gen,input_size,51200,50KB_binary,51200,2,1.987499999955844e-05,417,32
HMAC-SHA256,mac_verify,input_size,51200,50KB_binary,51200,2,1.983299999963606e-05,417,
HMAC-SHA256,mac_gen,input_size,51200,50KB_binary,51200,3,2.4500000000315936e-05,417,32
HMAC-SHA256,mac_verify,input_size,51200,50KB_binary,51200,3,2.0042000000053406e-05,417,
HMAC-SHA256,mac_gen,input_size,51200,50KB_binary,51200,4,2.2042000000332962e-05,417,32
HMAC-SHA256,mac_verify,input_size,51200,50KB_binary,51200,4,2.09169999996206e-05,417,
HMAC-SHA256,mac_gen,input_size,51200,50KB_binary,51200,5,1.7875000000167063e-05,417,32
HMAC-SHA256,mac_verify,input_size,51200,50KB_binary,51200,5,1.7959000000011827e-05,417,
HMAC-SHA256,mac_gen,input_size,51200,50KB_binary,51200,6,2.2667000000531345e-05,417,32
HMAC-SHA256,mac_verify,input_size,51200,50KB_binary,51200,6,1.804200000066203e-05,417,
HMAC-SHA256,mac_gen,input_size,51200,50KB_binary,51200,7,1.7957999999929086e-05,417,32
HMAC-SHA256,mac_verify,input_size,51200,50KB_binary,51200,7,1.804199999977385e-05,417,
HMAC-SHA256,mac_gen,input_size,51200,50KB_binary,51200,8,1.7959000000011827e-05,417,32
HMAC-SHA256,mac_verify,input_size,51200,50KB_binary,51200,8,1.804199999977385e-05,417,
HMAC-SHA256,mac_gen,input_size,51200,50KB_binary,51200,9,2.4208000000136565e-05,417,32
HMAC-SHA256,mac_verify,input_size,51200,50KB_binary,51200,9,2.3917000000039934e-05,417,
HMAC-SHA256,mac_gen,input_size,102400,100KB_image,102400,0,3.6500000000216914e-05,417,32
HMAC-SHA256,mac_verify,input_size,102400,100KB_image,102400,0,3.641600000037215e-05,417,
HMAC-SHA256,mac_gen,input_size,102400,100KB_image,102400,1,4.112500000008623e-05,417,32
HMAC-SHA256,mac_verify,input_size,102400,100KB_image,102400,1,3.6541000000056556e-05,417,
HMAC-SHA256,mac_gen,input_size,102400,100KB_image,102400,2,3.300000000017178e-05,417,32
HMAC-SHA256,mac_verify,input_size,102400,100KB_image,102400,2,3.291600000032702e-05,417,
HMAC-SHA256,mac_gen,input_size,102400,100KB_image,102400,3,3.291600000032702e-05,417,32
HMAC-SHA256,mac_verify,input_size,102400,100KB_image,102400,3,3.300000000017178e-05,417,
HMAC-SHA256,mac_gen,input_size,102400,100KB_image,102400,4,3.2875000000487375e-05,417,32
HMAC-SHA256,mac_verify,input_size,102400,100KB_image,102400,4,3.2875000000487375e-05,417,
HMAC-SHA256,mac_gen,input_size,102400,100KB_image,102400,5,3.29580000002494e-05,417,32
HMAC-SHA256,mac_verify,input_size,102400,100KB_image,102400,5,3.291600000032702e-05,417,
HMAC-SHA256,mac_gen,input_size,102400,100KB_image,102400,6,3.2875000000487375e-05,417,32
HMAC-SHA256,mac_verify,input_size,102400,100KB_image,102400,6,3.304200000009416e-05,417,
HMAC-SHA256,mac_gen,input_size,102400,100KB_image,102400,7,3.291700000040976e-05,417,32
HMAC-SHA256,mac_verify,input_size,102400,100KB_image,102400,7,3.304100000001142e-05,417,
HMAC-SHA256,mac_gen,input_size,102400,100KB_image,102400,8,3.29580000002494e-05,417,32
HMAC-SHA256,mac_verify,input_size,102400,100KB_image,102400,8,3.28749999995992e-05,417,
HMAC-SHA256,mac_gen,input_size,102400,100KB_image,102400,9,3.787500000029809e-05,417,32
HMAC-SHA256,mac_verify,input_size,102400,100KB_image,102400,9,3.591599999985817e-05,417,
HMAC-SHA256,mac_gen,input_size,1048576,1MB_pdf,1048576,0,0.00031729200000008007,417,32
HMAC-SHA256,mac_verify,input_size,1048576,1MB_pdf,1048576,0,0.00032045800000002345,417,
HMAC-SHA256,mac_gen,input_size,1048576,1MB_pdf,1048576,1,0.0003282499999999189,417,32
HMAC-SHA256,mac_verify,input_size,1048576,1MB_pdf,1048576,1,0.00039316700000036064,417,
HMAC-SHA256,mac_gen,input_size,1048576,1MB_pdf,1048576,2,0.000323499999999477,417,32
HMAC-SHA256,mac_verify,input_size,1048576,1MB_pdf,1048576,2,0.00033145799999978465,417,
HMAC-SHA256,mac_gen,input_size,1048576,1MB_pdf,1048576,3,0.00034704100000038096,417,32
HMAC-SHA256,mac_verify,input_size,1048576,1MB_pdf,1048576,3,0.00034487500000057736,417,
HMAC-SHA256,mac_gen,input_size,1048576,1MB_pdf,1048576,4,0.00033037499999988285,417,32
HMAC-SHA256,mac_verify,input_size,1048576,1MB_pdf,1048576,4,0.00034916700000042766,417,
HMAC-SHA256,mac_gen,input_size,1048576,1MB_pdf,1048576,5,0.0003282909999997585,417,32
HMAC-SHA256,mac_verify,input_size,1048576,1MB_pdf,1048576,5,0.00034658300000067754,417,
HMAC-SHA256,mac_gen,input_size,1048576,1MB_pdf,1048576,6,0.00034195799999992005,417,32
HMAC-SHA256,mac_verify,input_size,1048576,1MB_pdf,1048576,6,0.00033904200000023366,417,
HMAC-SHA256,mac_gen,input_size,1048576,1MB_pdf,1048576,7,0.00041662499999972624,417,32
HMAC-SHA256,mac_verify,input_size,1048576,1MB_pdf,1048576,7,0.00036470900000029616,417,
HMAC-SHA256,mac_gen,input_size,1048576,1MB_pdf,1048576,8,0.0003417919999995078,417,32
HMAC-SHA256,mac_verify,input_size,1048576,1MB_pdf,1048576,8,0.0003310420000000036,417,
HMAC-SHA256,mac_gen,input_size,1048576,1MB_pdf,1048576,9,0.00032312500000042377,417,32
HMAC-SHA256,mac_verify,input_size,1048576,1MB_pdf,1048576,9,0.00034358399999945277,417,
HMAC-SHA256,mac_gen,input_size,5242880,5MB_video,5242880,0,0.001572041999999385,417,32
HMAC-SHA256,mac_verify,input_size,5242880,5MB_video,5242880,0,0.0015690830000005818,417,
HMAC-SHA256,mac_gen,input_size,5242880,5MB_video,5242880,1,0.0015684579999994952,417,32
HMAC-SHA256,mac_verify,input_size,5242880,5MB_video,5242880,1,0.0017041250000007224,417,
HMAC-SHA256,mac_gen,input_size,5242880,5MB_video,5242880,2,0.0015707080000000317,417,32
HMAC-SHA256,mac_verify,input_size,5242880,5MB_video,5242880,2,0.001565625000000459,417,
HMAC-SHA256,mac_gen,input_size,5242880,5MB_video,5242880,3,0.0015479590000007093,417,32
HMAC-SHA256,mac_verify,input_size,5242880,5MB_video,5242880,3,0.0016640419999998102,417,
HMAC-SHA256,mac_gen,input_size,5242880,5MB_video,5242880,4,0.0016177089999995786,417,32
HMAC-SHA256,mac_verify,input_size,5242880,5MB_video,5242880,4,0.0015850000000003917,417,
HMAC-SHA256,mac_gen,input_size,5242880,5MB_video,5242880,5,0.0015964999999997787,417,32
HMAC-SHA256,mac_verify,input_size,5242880,5MB_video,5242880,5,0.0015934590000004079,417,
HMAC-SHA256,mac_gen,input_size,5242880,5MB_video,5242880,6,0.0015707919999998765,417,32
HMAC-SHA256,mac_verify,input_size,5242880,5MB_video,5242880,6,0.0016111250000001576,417,
HMAC-SHA256,mac_gen,input_size,5242880,5MB_video,5242880,7,0.0015892080000003972,417,32
HMAC-SHA256,mac_verify,input_size,5242880,5MB_video,5242880,7,0.0015922080000008165,417,
HMAC-SHA256,mac_gen,input_size,5242880,5MB_video,5242880,8,0.0015929999999997335,417,32
HMAC-SHA256,mac_verify,input_size,5242880,5MB_video,5242880,8,0.001647583000000452,417,
HMAC-SHA256,mac_gen,input_size,5242880,5MB_video,5242880,9,0.0016282909999993933,417,32
